,Seller Name,Seller type,BHK,Location,City,Total Price,price per sqft,Area_sqft,Construction status
5580,seller,VERIFIED OWNER,1 BHK Apartment,Ghatkopar West,Mumbai, 1 Cr,"18,518 ",540 ,Ready to move
5581,seller,VERIFIED OWNER,1 BHK Apartment,Vasai West,Mumbai, 47 L,"8,392 ",560 ,Ready to move
5582,seller,VERIFIED OWNER,3 BHK Apartment,Nala Sopara,Mumbai, 69.99 L,"5,490 ",1275 ,Ready to move
5583,seller,VERIFIED OWNER,2 BHK Apartment,Santacruz East,Mumbai, 1.55 Cr,"18,149 ",854 ,Ready to move
5584,seller,VERIFIED OWNER,2 BHK Apartment,Ulwe,Mumbai, 84 L,"7,291 ",1152 ,Ready to move
5585,seller,VERIFIED OWNER,1 BHK Apartment,Karjat,Mumbai, 24.3 L,"4,802 ",506 ,Under Construction
5586,seller,VERIFIED OWNER,2 BHK Apartment,Thane West,Mumbai, 1.3 Cr,"10,276 ",1265 ,Ready to move
5587,seller,VERIFIED OWNER,3 BHK Apartment,Mira Road East,Mumbai, 99 L,"9,000 ",1100 ,Ready to move
5588,seller,VERIFIED OWNER,2 BHK Apartment,Kandivali West,Mumbai, 1.8 Cr,"30,874 ",583 ,Under Construction
5589,seller,VERIFIED OWNER,2 BHK Apartment,Vasai,Mumbai, 65 L,"5,909 ",1100 ,Under Construction
5590,seller,VERIFIED OWNER,1 BHK Apartment,Vasai,Mumbai, 36.37 L,"5,309 ",685 ,Under Construction
5591,seller,VERIFIED OWNER,1 BHK Apartment,Ulwe,Mumbai, 49.5 L,"7,388 ",670 ,Under Construction
5592,seller,VERIFIED OWNER,1 BHK Apartment,Badlapur West,Mumbai, 25 L,"4,807 ",520 ,Ready to move
5593,seller,VERIFIED OWNER,1 BHK Apartment,Boisar,Mumbai, 15.5 L,"2,792 ",555 ,Ready to move
5594,seller,VERIFIED OWNER,1 BHK Apartment,Badlapur West,Mumbai, 18 L,"2,950 ",610 ,Under Construction
5595,seller,VERIFIED OWNER,2 BHK Apartment,Virar West,Mumbai, 40 L,"6,153 ",650 ,Ready to move
5596,seller,VERIFIED OWNER,1 BHK Apartment,Shil Phata,Mumbai, 37.5 L,"6,097 ",615 ,Under Construction
5597,seller,VERIFIED OWNER,1 BHK Apartment,Kharghar,Mumbai, 46 L,"9,583 ",480 ,Ready to move
5598,seller,VERIFIED OWNER,1 BHK Apartment,Ulwe,Mumbai, 65 L,"12,695 ",512 ,Ready to move
5599,seller,VERIFIED OWNER,1 BHK Apartment,Thane West,Mumbai, 75 L,"11,904 ",630 ,Under Construction
5600,seller,VERIFIED OWNER,1 BHK Apartment,Kharghar,Mumbai, 27 L,"4,320 ",625 ,Under Construction
5601,seller,VERIFIED OWNER,2 BHK Apartment,Dombivali,Mumbai, 77.5 L,"8,157 ",950 ,Ready to move
5602,seller,VERIFIED OWNER,1 BHK Apartment,Bhangarwadi,Mumbai, 28 L,"4,154 ",674 ,Ready to move
5603,seller,VERIFIED OWNER,1 BHK Apartment,Borivali West,Mumbai, 1.05 Cr,"20,192 ",520 ,Ready to move
5604,seller,VERIFIED OWNER,2 BHK Apartment,Ville Parle East,Mumbai, 2.75 Cr,"27,500 ",1000 ,Ready to move
5605,seller,VERIFIED OWNER,1 BHK Apartment,Chembur,Mumbai, 89.2 L,"20,988 ",425 ,Ready to move
5606,seller,VERIFIED OWNER,1 BHK Apartment,Santacruz West,Mumbai, 2.35 Cr,"39,166 ",600 ,Ready to move
5607,seller,VERIFIED OWNER,3 BHK Apartment,Powai,Mumbai, 5.75 Cr,"32,857 ",1750 ,Ready to move
5608,seller,VERIFIED OWNER,1 BHK Apartment,Thane West,Mumbai, 65 L,"15,853 ",410 ,Ready to move
5609,seller,VERIFIED OWNER,1 RK Studio Apartment,Panvel,Mumbai, 20 L,"6,060 ",330 ,Ready to move
5610,seller,VERIFIED OWNER,1 BHK Apartment,Belapur,Mumbai, 35 L,"6,363 ",550 ,Under Construction
5611,seller,VERIFIED OWNER,2 BHK Apartment,Agripada,Mumbai, 2.62 Cr,"40,307 ",650 ,Under Construction
5612,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 41 L,"5,624 ",729 ,Ready to move
5613,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 42 L,"5,761 ",729 ,Ready to move
5614,seller,VERIFIED OWNER,2 BHK Apartment,Dombivali,Mumbai, 25 L,"3,571 ",700 ,Ready to move
5615,seller,VERIFIED OWNER,1 RK Studio Apartment,Parel,Mumbai, 53 L,"17,666 ",300 ,Ready to move
5616,seller,VERIFIED OWNER,1 BHK Villa,Neral,Mumbai, 18.5 L,"2,960 ",625 ,Ready to move
5617,seller,VERIFIED OWNER,2 BHK Apartment,Kanjurmarg,Mumbai, 1.5 Cr,"22,189 ",676 ,Under Construction
5618,seller,VERIFIED OWNER,2 BHK Apartment,Anjurdive,Mumbai, 73 L,"8,795 ",830 ,Ready to move
5619,seller,VERIFIED OWNER,1 BHK Apartment,Thane West,Mumbai, 84 L,"11,200 ",750 ,Ready to move
5620,seller,VERIFIED OWNER,2 BHK Apartment,Kalamboli,Mumbai, 75 L,"8,333 ",900 ,Ready to move
5621,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 30 L,"4,431 ",677 ,Ready to move
5622,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 35 L,"5,384 ",650 ,Under Construction
5623,seller,VERIFIED OWNER,2 BHK Apartment,Ville Parle East,Mumbai, 2.5 Cr,"31,250 ",800 ,Ready to move
5624,seller,VERIFIED OWNER,1 BHK Apartment,Taloje,Mumbai, 32 L,"4,923 ",650 ,Ready to move
5625,seller,VERIFIED OWNER,1 BHK Apartment,Mahim,Mumbai, 18 L,"3,000 ",600 ,Under Construction
5626,seller,VERIFIED OWNER,1 RK Studio Apartment,Hendre Pada,Mumbai, 21.6 L,"5,023 ",430 ,Ready to move
5627,seller,VERIFIED OWNER,1 RK Studio Apartment,Jogeshwari East,Mumbai, 63.5 L,"20,158 ",315 ,Ready to move
5628,seller,VERIFIED OWNER,2 BHK Apartment,Karjat,Mumbai, 28 L,"3,153 ",888 ,Ready to move
5629,seller,VERIFIED OWNER,1 BHK Apartment,Hendre Pada,Mumbai, 14.5 L,"2,900 ",500 ,Under Construction
5630,seller,VERIFIED OWNER,2 BHK Apartment,Kandivali East,Mumbai, 1.8 Cr,"16,513 ",1090 ,Ready to move
5631,seller,VERIFIED OWNER,1 BHK Apartment,Govandi,Mumbai, 1.9 Cr,"25,333 ",750 ,Ready to move
5632,seller,VERIFIED OWNER,1 BHK Apartment,Manjarli,Mumbai, 22 L,"4,036 ",545 ,Ready to move
5633,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 38 L,"5,066 ",750 ,Ready to move
5634,seller,VERIFIED OWNER,1 BHK Apartment,Borivali West,Mumbai, 1.19 Cr,"21,818 ",550 ,Ready to move
5635,seller,VERIFIED OWNER,1 BHK Apartment,Kharghar,Mumbai, 24 L,"3,692 ",650 ,Ready to move
5636,seller,VERIFIED OWNER,1 BHK Apartment,Hendre Pada,Mumbai, 16 L,"3,516 ",455 ,Under Construction
5637,seller,VERIFIED OWNER,2 BHK Independent Floor,Ambernath East,Mumbai, 50 L,"5,555 ",900 ,Ready to move
5638,seller,VERIFIED OWNER,1 BHK Apartment,Kalyan West,Mumbai, 45 L,"6,569 ",685 ,Under Construction
5639,seller,VERIFIED OWNER,1 RK Studio Apartment,Ulwe,Mumbai, 23 L,"5,750 ",400 ,Ready to move
5640,seller,VERIFIED OWNER,1 BHK Apartment,Mira Road East,Mumbai, 75 L,"14,285 ",525 ,Ready to move
5641,seller,VERIFIED OWNER,2 BHK Apartment,Taloja,Mumbai, 33.6 L,"3,952 ",850 ,Ready to move
5642,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.2 Cr,"12,000 ",1000 ,Under Construction
5643,seller,VERIFIED OWNER,2 BHK Apartment,Virar West,Mumbai, 43.5 L,"6,904 ",630 ,Ready to move
5644,seller,VERIFIED OWNER,2 BHK Apartment,Bandra West,Mumbai, 1 Cr,"9,090 ",1100 ,Under Construction
5645,seller,VERIFIED OWNER,1 BHK Apartment,Dombivali East,Mumbai, 45 L,"8,411 ",535 ,Ready to move
5646,seller,VERIFIED OWNER,1 BHK Apartment,Kanjurmarg,Mumbai, 1.34 Cr,"20,692 ",650 ,Ready to move
5647,seller,VERIFIED OWNER,3 BHK Apartment,Ghatkopar West,Mumbai, 2.7 Cr,"19,852 ",1360 ,Ready to move
5648,seller,VERIFIED OWNER,2 BHK Apartment,Tardeo,Mumbai, 5.5 Cr,"47,826 ",1150 ,Ready to move
5649,seller,VERIFIED OWNER,1 BHK Apartment,Hendre Pada,Mumbai, 25 L,"4,807 ",520 ,Ready to move
5650,seller,VERIFIED OWNER,1 BHK Apartment,Vevoor,Mumbai, 12.99 L,"2,651 ",490 ,Ready to move
5651,seller,VERIFIED OWNER,1 BHK Apartment,Hendre Pada,Mumbai, 22.99 L,"3,307 ",695 ,Ready to move
5652,seller,VERIFIED OWNER,2 BHK Apartment,Neral,Mumbai, 30 L,"3,083 ",973 ,Under Construction
5653,seller,VERIFIED OWNER,2 BHK Apartment,Dadar West,Mumbai, 3.5 Cr,"41,176 ",850 ,Ready to move
5654,seller,VERIFIED OWNER,2 BHK Apartment,Panvel,Mumbai, 99 L,"13,026 ",760 ,Ready to move
5655,seller,VERIFIED OWNER,2 BHK Apartment,Kalyan East,Mumbai, 30 L,"4,016 ",747 ,Ready to move
5656,seller,VERIFIED OWNER,1 BHK Apartment,Taloja,Mumbai, 23 L,"3,833 ",600 ,Ready to move
5657,seller,VERIFIED OWNER,1 BHK Apartment,Kalyan West,Mumbai, 50 L,"7,633 ",655 ,Ready to move
5658,seller,VERIFIED OWNER,2 BHK Apartment,Ulwe,Mumbai, 91 L,"7,416 ",1227 ,Ready to move
5659,seller,VERIFIED OWNER,1 BHK Apartment,Bhiwandi,Mumbai, 31.9 L,"4,915 ",649 ,Ready to move
5660,seller,VERIFIED OWNER,1 BHK Apartment,Mira Road East,Mumbai, 60 L,"9,677 ",620 ,Ready to move
5661,seller,VERIFIED OWNER,1 BHK Apartment,Dombivli (West),Mumbai, 29.5 L,"6,344 ",465 ,Ready to move
5662,seller,VERIFIED OWNER,1 BHK Apartment,Ghatkopar West,Mumbai, 80 L,"13,793 ",580 ,Ready to move
5663,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 80 L,"7,619 ",1050 ,Ready to move
5664,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 79 L,"7,523 ",1050 ,Ready to move
5665,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 73 L,"9,733 ",750 ,Ready to move
5666,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 70 L,"9,333 ",750 ,Ready to move
5667,seller,VERIFIED OWNER,1 BHK Apartment,Mira Road East,Mumbai, 62 L,"9,538 ",650 ,Ready to move
5668,seller,VERIFIED OWNER,2 BHK Apartment,Nerul,Mumbai, 70.68 L,"7,600 ",930 ,Under Construction
5669,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 40 L,"8,968 ",446 ,Ready to move
5670,seller,VERIFIED OWNER,7 BHK Independent House,Dombivali East,Mumbai, 2.98 Cr,"9,933 ",3000 ,Ready to move
5671,seller,VERIFIED OWNER,1 RK Studio Apartment,Bhandup East,Mumbai, 75 L,"19,736 ",380 ,Ready to move
5672,seller,VERIFIED OWNER,2 BHK Apartment,Dombivali East,Mumbai, 51 L,"5,930 ",860 ,Ready to move
5673,seller,VERIFIED OWNER,1 BHK Apartment,Kalyan West,Mumbai, 46 L,"7,076 ",650 ,Ready to move
5674,seller,VERIFIED OWNER,1 BHK Apartment,Naigaon East,Mumbai, 32.99 L,"5,499 ",600 ,Ready to move
5675,seller,VERIFIED OWNER,3 BHK Apartment,Thane East,Mumbai, 1.5 Cr,"15,000 ",1000 ,Ready to move
5676,seller,VERIFIED OWNER,1 BHK Apartment,Wadala,Mumbai, 1.4 Cr,"18,716 ",748 ,Ready to move
5677,seller,VERIFIED OWNER,1 BHK Apartment,Neral,Mumbai, 21 L,"3,750 ",560 ,Ready to move
5678,seller,VERIFIED OWNER,2 BHK Apartment,Kurla,Mumbai, 1.1 Cr,"11,956 ",920 ,Ready to move
5679,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.18 Cr,"13,785 ",856 ,Ready to move
5680,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.19 Cr,"13,901 ",856 ,Ready to move
5681,seller,VERIFIED OWNER,1 BHK Apartment,Mira Road East,Mumbai, 1.15 Cr,"13,529 ",850 ,Ready to move
5682,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.15 Cr,"13,529 ",850 ,Ready to move
5683,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.11 Cr,"13,058 ",850 ,Ready to move
5684,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.05 Cr,"12,352 ",850 ,Ready to move
5685,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 85 L,"8,333 ",1020 ,Ready to move
5686,seller,VERIFIED OWNER,1 BHK Apartment,Mira Road East,Mumbai, 73 L,"9,656 ",756 ,Ready to move
5687,seller,VERIFIED OWNER,1 BHK Apartment,Mira Road East,Mumbai, 74 L,"10,962 ",675 ,Ready to move
5688,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 93 L,"11,847 ",785 ,Ready to move
5689,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 91 L,"11,895 ",765 ,Ready to move
5690,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 90 L,"11,718 ",768 ,Ready to move
5691,seller,VERIFIED OWNER,3 BHK Apartment,Owale,Mumbai, 1.4 Cr,"10,000 ",1400 ,Ready to move
5692,seller,VERIFIED OWNER,1 BHK Apartment,Thane West,Mumbai, 55 L,"9,649 ",570 ,Ready to move
5693,seller,VERIFIED OWNER,2 BHK Apartment,Taloja,Mumbai, 49 L,"4,414 ",1110 ,Ready to move
5694,seller,VERIFIED OWNER,4 BHK Apartment,Dombivali,Mumbai, 62 L,"5,462 ",1135 ,Ready to move
5695,seller,VERIFIED OWNER,1 BHK Apartment,Karjat,Mumbai, 22 L,"3,666 ",600 ,Under Construction
5696,seller,VERIFIED OWNER,4 BHK Apartment,Kandivali East,Mumbai, 5.5 Cr,"22,000 ",2500 ,Ready to move
5697,seller,VERIFIED OWNER,1 BHK Apartment,Kharghar,Mumbai, 25 L,"4,098 ",610 ,Ready to move
5698,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 30 L,"5,395 ",556 ,Ready to move
5699,seller,VERIFIED OWNER,1 BHK Apartment,Dombivali East,Mumbai, 54 L,"8,307 ",650 ,Ready to move
5700,seller,VERIFIED OWNER,2 BHK Apartment,Andheri West,Mumbai, 2 Cr,"20,000 ",1000 ,Ready to move
5701,seller,VERIFIED OWNER,1 BHK Independent Floor,Badlapur East,Mumbai, 25 L,"3,448 ",725 ,Ready to move
5702,seller,VERIFIED OWNER,3 BHK Apartment,Tardeo,Mumbai, 2.2 Cr,"22,000 ",1000 ,Ready to move
5703,seller,VERIFIED OWNER,2 BHK Apartment,Thane West,Mumbai, 58 L,"9,354 ",620 ,Ready to move
5704,seller,VERIFIED OWNER,1 BHK Apartment,Ambernath East,Mumbai, 28 L,"4,148 ",675 ,Ready to move
5705,seller,VERIFIED OWNER,1 BHK Apartment,Ambernath East,Mumbai, 40 L,"5,333 ",750 ,Under Construction
5706,seller,VERIFIED OWNER,1 BHK Apartment,Kongaon,Mumbai, 14.5 L,"3,020 ",480 ,Under Construction
5707,seller,VERIFIED OWNER,1 RK Studio Apartment,Vasai,Mumbai, 17.5 L,"5,223 ",335 ,Under Construction
5708,seller,VERIFIED OWNER,1 BHK Apartment,Belapur,Mumbai, 25 L,"4,761 ",525 ,Ready to move
5709,seller,VERIFIED OWNER,3 BHK Apartment,Cuffe Parade,Mumbai, 6.75 Cr,"51,923 ",1300 ,Ready to move
5710,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5711,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5712,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5713,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5714,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5715,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5716,seller,VERIFIED OWNER,1 RK Studio Apartment,Mumbai Central,Mumbai, 75 L,"30,000 ",250 ,Ready to move
5717,seller,VERIFIED OWNER,1 BHK Apartment,Kharghar,Mumbai, 24.6 L,"3,904 ",630 ,Ready to move
5718,seller,VERIFIED OWNER,1 RK Studio Apartment,Dombivali,Mumbai, 48 L,"7,111 ",675 ,Ready to move
5719,seller,VERIFIED OWNER,1 BHK Apartment,Shil Phata,Mumbai, 50 L,"7,440 ",672 ,Ready to move
5720,seller,VERIFIED OWNER,4 BHK Apartment,Kandivali East,Mumbai, 5.5 Cr,"22,000 ",2500 ,Ready to move
5721,seller,VERIFIED OWNER,1 BHK Apartment,Kharghar,Mumbai, 25 L,"4,098 ",610 ,Ready to move
5722,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 30 L,"5,395 ",556 ,Ready to move
5723,seller,VERIFIED OWNER,1 BHK Apartment,Dombivali East,Mumbai, 54 L,"8,307 ",650 ,Ready to move
5724,seller,VERIFIED OWNER,2 BHK Apartment,Andheri West,Mumbai, 2 Cr,"20,000 ",1000 ,Ready to move
5725,seller,VERIFIED OWNER,3 BHK Apartment,Vikhroli,Mumbai, 6 Cr,"49,668 ",1208 ,Ready to move
5726,seller,VERIFIED OWNER,2 BHK Apartment,Nerul,Mumbai, 1.75 Cr,"15,217 ",1150 ,Ready to move
5727,seller,VERIFIED OWNER,1 BHK Apartment,Dombivli (West),Mumbai, 30.5 L,"5,596 ",545 ,Ready to move
5728,seller,VERIFIED OWNER,2 BHK Apartment,Mulund West,Mumbai, 1.9 Cr,"19,427 ",978 ,Ready to move
5729,seller,VERIFIED OWNER,1 BHK Apartment,Colaba,Mumbai, 2.45 Cr,"38,582 ",635 ,Ready to move
5730,seller,VERIFIED OWNER,2 BHK Apartment,Vasai,Mumbai, 59.5 L,"7,000 ",850 ,Ready to move
5731,seller,VERIFIED OWNER,1 BHK Independent House,Dahisar East,Mumbai, 72 L,"16,000 ",450 ,Ready to move
5732,seller,VERIFIED OWNER,1 BHK Apartment,Mulund East,Mumbai, 1.1 Cr,"17,741 ",620 ,Ready to move
5733,seller,VERIFIED OWNER,1 RK Studio Apartment,Bhandup East,Mumbai, 75 L,"19,736 ",380 ,Ready to move
5734,seller,VERIFIED OWNER,2 BHK Apartment,Dombivali East,Mumbai, 51 L,"5,930 ",860 ,Ready to move
5735,seller,VERIFIED OWNER,1 BHK Apartment,Hendre Pada,Mumbai, 25 L,"4,807 ",520 ,Ready to move
5736,seller,VERIFIED OWNER,1 BHK Apartment,Vevoor,Mumbai, 12.99 L,"2,651 ",490 ,Ready to move
5737,seller,VERIFIED OWNER,2 BHK Independent House,Titwala,Mumbai, 8 L,"1,951 ",410 ,Ready to move
5738,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 35 L,"5,384 ",650 ,Ready to move
5739,seller,VERIFIED OWNER,1 BHK Apartment,Dombivali,Mumbai, 36 L,"6,545 ",550 ,Under Construction
5740,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 25 L,"4,464 ",560 ,Ready to move
5741,seller,VERIFIED OWNER,1 BHK Apartment,Mira Road East,Mumbai, 40 L,"8,888 ",450 ,Ready to move
5742,seller,VERIFIED OWNER,1 BHK Apartment,Airoli,Mumbai, 71 L,"10,757 ",660 ,Ready to move
5743,seller,VERIFIED OWNER,2 BHK Apartment,Borivali West,Mumbai, 1.29 Cr,"17,200 ",750 ,Ready to move
5744,seller,VERIFIED OWNER,1 BHK Apartment,Dombivali,Mumbai, 51 L,"7,727 ",660 ,Under Construction
5745,seller,VERIFIED OWNER,1 BHK Apartment,Dombivali,Mumbai, 51 L,"7,727 ",660 ,Under Construction
5746,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.1 Cr,"13,750 ",800 ,Ready to move
5747,seller,VERIFIED OWNER,1 BHK Independent Floor,Badlapur East,Mumbai, 25 L,"3,448 ",725 ,Ready to move
5748,seller,VERIFIED OWNER,3 BHK Apartment,Tardeo,Mumbai, 2.2 Cr,"22,000 ",1000 ,Ready to move
5749,seller,VERIFIED OWNER,2 BHK Apartment,Thane West,Mumbai, 58 L,"9,354 ",620 ,Ready to move
5750,seller,VERIFIED OWNER,1 BHK Apartment,Ambernath East,Mumbai, 28 L,"4,148 ",675 ,Ready to move
5751,seller,VERIFIED OWNER,1 BHK Apartment,Ambernath East,Mumbai, 40 L,"5,333 ",750 ,Under Construction
5752,seller,VERIFIED OWNER,1 BHK Apartment,Kongaon,Mumbai, 14.5 L,"3,020 ",480 ,Under Construction
5753,seller,VERIFIED OWNER,1 BHK Apartment,Panvel,Mumbai, 18.95 L,"3,908 ",485 ,Ready to move
5754,seller,VERIFIED OWNER,2 BHK Apartment,Dombivali,Mumbai, 65 L,"7,065 ",920 ,Under Construction
5755,seller,VERIFIED OWNER,1 BHK Apartment,Thane West,Mumbai, 85 L,"18,763 ",453 ,Ready to move
5756,seller,VERIFIED OWNER,1 RK Studio Apartment,Virar East,Mumbai, 4.75 L,"2,375 ",200 ,Ready to move
5757,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5758,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5759,seller,VERIFIED OWNER,2 BHK Apartment,Andheri East,Mumbai, 1.65 Cr,"23,076 ",715 ,Ready to move
5760,seller,VERIFIED OWNER,1 BHK Apartment,Kalamboli,Mumbai, 60 L,"8,571 ",700 ,Ready to move
5761,seller,VERIFIED OWNER,1 BHK Apartment,Kalamboli,Mumbai, 60 L,"8,571 ",700 ,Ready to move
5762,seller,VERIFIED OWNER,1 BHK Apartment,Kalamboli,Mumbai, 60 L,"8,571 ",700 ,Ready to move
5763,seller,VERIFIED OWNER,1 BHK Apartment,Kalamboli,Mumbai, 60 L,"8,571 ",700 ,Ready to move
5764,seller,VERIFIED OWNER,1 BHK Apartment,Kalamboli,Mumbai, 60 L,"8,571 ",700 ,Ready to move
5765,seller,VERIFIED OWNER,1 BHK Apartment,Kalamboli,Mumbai, 60 L,"8,571 ",700 ,Ready to move
5766,seller,VERIFIED OWNER,1 BHK Apartment,Kalamboli,Mumbai, 60 L,"8,571 ",700 ,Ready to move
5767,seller,VERIFIED OWNER,1 BHK Apartment,Chembur,Mumbai, 1.35 Cr,"16,875 ",800 ,Ready to move
5768,seller,VERIFIED OWNER,1 BHK Apartment,Chembur,Mumbai, 1.35 Cr,"16,875 ",800 ,Ready to move
5769,seller,VERIFIED OWNER,1 BHK Apartment,Chembur,Mumbai, 1.35 Cr,"16,875 ",800 ,Ready to move
5770,seller,VERIFIED OWNER,2 BHK Apartment,Ambernath West,Mumbai, 40 L,"4,166 ",960 ,Ready to move
5771,seller,VERIFIED OWNER,2 BHK Apartment,Kandivali West,Mumbai, 1.8 Cr,"23,225 ",775 ,Under Construction
5772,seller,VERIFIED OWNER,2 BHK Independent House,Vikroli East,Mumbai, 1.5 Cr,"24,590 ",610 ,Ready to move
5773,seller,VERIFIED OWNER,1 RK Studio Apartment,Santacruz West,Mumbai, 1.6 Cr,"28,571 ",560 ,Ready to move
5774,seller,VERIFIED OWNER,2 BHK Apartment,Dombivali East,Mumbai, 57 L,"8,142 ",700 ,Ready to move
5775,seller,VERIFIED OWNER,3 BHK Apartment,Borivali East,Mumbai, 3.19 Cr,"24,615 ",1300 ,Ready to move
5776,seller,VERIFIED OWNER,2 BHK Apartment,Andheri West,Mumbai, 1.25 Cr,"29,069 ",430 ,Ready to move
5777,seller,VERIFIED OWNER,4 BHK Apartment,Kandivali West,Mumbai, 4.4 Cr,"17,600 ",2500 ,Under Construction
5778,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5779,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5780,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5781,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5782,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5783,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5784,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5785,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5786,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5787,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5788,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5789,seller,VERIFIED OWNER,3 BHK Apartment,Andheri West,Mumbai, 2.6 Cr,"19,259 ",1350 ,Ready to move
5790,seller,VERIFIED OWNER,1 BHK Apartment,Karjat,Mumbai, 18 L,"3,600 ",500 ,Under Construction
5791,seller,VERIFIED OWNER,2 BHK Apartment,Palghar,Mumbai, 38 L,"4,418 ",860 ,Ready to move
5792,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 1.18 Cr,"14,567 ",810 ,Ready to move
5793,seller,VERIFIED OWNER,3 BHK Apartment,Mira Road East,Mumbai, 1.85 Cr,"15,416 ",1200 ,Ready to move
5794,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 79 L,"9,228 ",856 ,Ready to move
5795,seller,VERIFIED OWNER,2 BHK Apartment,Mira Road East,Mumbai, 80 L,"9,345 ",856 ,Ready to move
5796,seller,VERIFIED OWNER,1 BHK Apartment,Dahisar,Mumbai, 55 L,"8,744 ",629 ,Ready to move
5797,seller,VERIFIED OWNER,1 BHK Apartment,Dahisar,Mumbai, 56 L,"9,032 ",620 ,Ready to move
5798,seller,VERIFIED OWNER,2 BHK Apartment,Dahisar,Mumbai, 78 L,"9,176 ",850 ,Ready to move
5799,seller,VERIFIED OWNER,2 BHK Apartment,Dahisar,Mumbai, 79 L,"9,294 ",850 ,Ready to move
