,Seller Name,Seller type,BHK,Location,City,Total Price,price per sqft,Area_sqft,Construction status
1108,seller,VERIFIED OWNER,Residential Plot,Sangareddy,Hyderabad, 43.92 L,"2,661 ",1650 ,Resale
1109,seller,VERIFIED OWNER,Residential Plot,Zaheerabad,Hyderabad, 22.5 L,170 ,13230 ,Resale
1110,seller,VERIFIED OWNER,Residential Plot,Zaheerabad,Hyderabad, 16.5 L,128 ,12834 ,Resale
1111,seller,VERIFIED OWNER,Residential Plot,Shamirpet,Hyderabad, 22 L,806 ,2727 ,Resale
1112,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 26.55 L,"1,777 ",1494 ,Resale
1113,seller,VERIFIED OWNER,Residential Plot,Gachibowli,Hyderabad, 13.23 L,"1,000 ",1323 ,Resale
1114,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 28 L,777 ,3600 ,Resale
1115,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 13 L,982 ,1323 ,Resale
1116,seller,VERIFIED OWNER,Residential Plot,Bonthapalle,Hyderabad, 3.78 Cr,"2,500 ",15120 ,Resale
1117,seller,VERIFIED OWNER,Residential Plot,Cherlapalli,Hyderabad, 88 L,"4,400 ",2000 ,Resale
1118,seller,VERIFIED OWNER,Residential Plot,Shankarpalli,Hyderabad, 45 L,"2,500 ",1800 ,Resale
1119,seller,VERIFIED OWNER,Residential Plot,Nandigam,Hyderabad, 45 L,"2,500 ",1800 ,Resale
1120,seller,VERIFIED OWNER,Residential Plot,Shankarpalli,Hyderabad, 45 L,"2,500 ",1800 ,Resale
1121,seller,VERIFIED OWNER,Residential Plot,Nandigam,Hyderabad, 45 L,"2,500 ",1800 ,Resale
1122,seller,VERIFIED OWNER,Residential Plot,Nandigam,Hyderabad, 45 L,"2,500 ",1800 ,Resale
1123,seller,VERIFIED OWNER,Residential Plot,Nandigam,Hyderabad, 45 L,"2,500 ",1800 ,Resale
1124,seller,VERIFIED OWNER,Residential Plot,Shankarpalli,Hyderabad, 45 L,"2,500 ",1800 ,Resale
1125,seller,VERIFIED OWNER,Residential Plot,Ghatkesar,Hyderabad, 35 L,"1,296 ",2700 ,Resale
1126,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 24 L,"1,333 ",1800 ,Resale
1127,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 24 L,"1,333 ",1800 ,Resale
1128,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 24 L,"1,333 ",1800 ,Resale
1129,seller,VERIFIED OWNER,Residential Plot,Ibrahimpatnam,Hyderabad, 34 L,"1,888 ",1800 ,Resale
1130,seller,VERIFIED OWNER,Residential Plot,Ibrahimpatnam,Hyderabad, 34 L,"1,888 ",1800 ,Resale
1131,seller,VERIFIED OWNER,Residential Plot,Ibrahimpatnam,Hyderabad, 34 L,"1,888 ",1800 ,Resale
1132,seller,VERIFIED OWNER,Residential Plot,Ibrahimpatnam,Hyderabad, 34 L,"1,888 ",1800 ,Resale
1133,seller,VERIFIED OWNER,Residential Plot,Ibrahimpatnam,Hyderabad, 34 L,"1,888 ",1800 ,Resale
1134,seller,VERIFIED OWNER,Residential Plot,Bibinagar,Hyderabad, 36 L,"1,333 ",2700 ,Resale
1135,seller,VERIFIED OWNER,Residential Plot,Bibinagar,Hyderabad, 36 L,"1,333 ",2700 ,Resale
1136,seller,VERIFIED OWNER,Residential Plot,Bibinagar,Hyderabad, 36 L,"1,333 ",2700 ,Resale
1137,seller,VERIFIED OWNER,Residential Plot,Medchal,Hyderabad, 44 L,"2,927 ",1503 ,Resale
1138,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 29.29 L,"1,613 ",1815 ,Resale
1139,seller,VERIFIED OWNER,Residential Plot,Medchal,Hyderabad, 41.99 L,"2,333 ",1800 ,Resale
1140,seller,VERIFIED OWNER,Residential Plot,Ibrahimpatnam,Hyderabad, 24 L,"1,596 ",1503 ,Resale
1141,seller,VERIFIED OWNER,Residential Plot,Yadagirigutta,Hyderabad, 8.25 L,611 ,1350 ,Resale
1142,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 14.5 L,"1,074 ",1350 ,Resale
